SL,query,ndcg_metric,top_model,highest_ndcg_score,second_top_model,second_highest_ndcg_score,third_top_model,third_highest_ndcg_score,relevance_gpt,faithfulness_gpt,relevance_lama,faithfulness_lama,annotator_name,scores_equal,Unique_document,source_file
165,Do tattoos negatively impact job opportunities?,_ndcg@3,Qwen2,0.9507614678330716,Mistral,0.924974312301727,BM25-llava,0.8030458713322868,3,3,3,2,Shashi,,8,random
166,Should newspapers shift entirely to digital formats?,_ndcg@1,Qwen2,0.6666666666666666,Mistral-llava,0.5,Clip,0.5,3,3,3,2,Nikhil,,13,random
167,Should newspapers shift entirely to digital formats?,_ndcg@2,Qwen2,0.6913401592471553,Mistral-llava,0.3519590445170673,Clip,0.3519590445170673,3,3,3,3,Nikhil,,13,random
168,Should newspapers shift entirely to digital formats?,_ndcg@3,Qwen2,0.8871746352865983,Mistral-llava,0.3990534844701043,Mistral,0.3384760941402048,3,2,3,3,Nikhil,,13,random
169,Are Football League ticket prices too expensive?,_ndcg@1,BM25-llava,1.0,Qwen2,0.6,Mistral-llava,0.6,3,3,3,2,Nikhil,,11,random
170,Are Football League ticket prices too expensive?,_ndcg@2,BM25-llava,0.9161412391433724,Qwen2,0.8180327782272317,Mistral-llava,0.7341740173706042,3,3,3,2,Nikhil,,11,random
171,Are Football League ticket prices too expensive?,_ndcg@3,Qwen2,0.8562462579613171,BM25-llava,0.8287507484077364,Mistral-llava,0.7374975053075448,3,3,3,3,Nikhil,,11,random
172,Is the UK's defense spending increasing?,_ndcg@1,Qwen2,1.0,Mistral,1.0,BM25,0.6,3,3,3,2,Nikhil,1&2,12,random
173,Is the UK's defense spending increasing?,_ndcg@2,Qwen2,0.9161412391433724,Mistral,0.8322824782867448,BM25,0.3987389739440937,3,2,3,2,Nikhil,,12,random
174,Is the UK's defense spending increasing?,_ndcg@3,Mistral,0.915571450536438,Qwen2,0.8746714351609314,BM25,0.4432762139055339,3,3,3,2,Nikhil,,12,random
175,Should health and fitness apps be free to download?,_ndcg@1,BM25-llava,0.6666666666666666,BM25,0.6666666666666666,Mistral,0.6666666666666666,3,3,2,3,Nikhil,1&2&3,10,random
176,Should health and fitness apps be free to download?,_ndcg@2,Qwen2,0.7956176024115139,BM25,0.7956176024115139,Mistral,0.6666666666666667,3,2,3,3,Nikhil,1&2,10,random
177,Should health and fitness apps be free to download?,_ndcg@3,Qwen2,0.9151505377371352,BM25,0.7454516132114052,Mistral,0.638383512579045,3,2,3,3,Nikhil,,10,random
178,Are women more likely to use Instagram than men?,_ndcg@1,Mistral-llava,1.0,Mistral,0.8333333333333334,Qwen2,0.8333333333333334,3,3,3,3,Nikhil,,13,random
179,Are women more likely to use Instagram than men?,_ndcg@2,Mistral-llava,0.93108094372919,Mistral,0.8907658802256749,Qwen2,0.8907658802256749,3,3,3,2,Nikhil,,13,random
180,Are women more likely to use Instagram than men?,_ndcg@3,Mistral-llava,0.9458645415972108,Qwen2,0.8712959927083435,Mistral,0.8712959927083435,3,3,3,2,Nikhil,,13,random
